Factorisations Of Cunningham Numbers C-(3,n) = 3^n - 1

Canonical Representation Of Factorisations

1. Factorisations are given from smallest to largest factor, with a period '.'
   separating factors.
2. Multiplicity of factors is indicated with the carat '^' in ascii tradition
   for the text version of the tables but not the HTML version.
3. The backslash '\' is used to indicate continuation of a line, the decimal
   digit representation of the number does not stop but continues on the next
   line as if no break had occured. This can sometimes make for bad breaks, but
   such is life.

Notation Used In The Tables

1. #Fac is the number of (non distinct) prime factors in an expression.
2. A plussed #Fac means that more prime factors exist but they are unknown due
   to an unfactored composite in the expression.

========================================================================================================================

   n  #Fac  Factorisation
            5763.27451255028998486919447695885731956353
 282    18  2^3.7.13.283.1223.16921.21997.256057.5112661.96656723.161969595577.1534179947851.2031161085853.939534076278\
            27115729.165301473942399079669.3798402051319990403467
 283     6  2.133227911.1830824353.306487563493.1257602943398454563.563750304346371130278519707552322797775447647941779\
            2282366672851461413293171897240803829
 284    14  2^4.5.853.2131.82219.3099719989.3672239816477.4052490063499.9159751032889.375473325748986240197335797912877\
            3.167649964410524100307472482005060261887957
 285    14  2.11^2.13.191.229.1597.4561.248749.363889.1824179209.5731756981.78958087694609321439660131899631.1273746126\
            09671206099801455938838908563158125266771097155261
 286    12  2^3.23.67.661.3851.53197.398581.797161.45040109496710622959391872603313706446921645052790773.11980143808567\
            62535048758241151960180137876946928788681521
 287     6  2.83.1093.2526913.86950696619.21538155051426769181547512398125145514813572366301296229197583314504765532859\
            88116532295282822690159583410271804001
